# language_name_wals:	Otomí (Mezquital)
# language_name_glotto:	Mezquital Otomi
# iso639_3:	ote
# year_composed:	2002-2014
# year_published:	2014
# mode:	written
# genre_broad:	grammar
# genre_narrow:	
# writing_system:	Latn
# special_characters:	The text is written using a specific orthographic norm. It contains "underlined" vowels, e.g., o̱, e̱, u̱.  
# short_description:	Parallel text extracted from the orthographic norm of Otomi language (INALI, Mexico).
# source:	NJAUA NT'OT'I RA HÑÄHÑU- NORMA DE ESCRITURA DE LA LENGUA HÑÄHÑU (OTOMÍ) 
# copyright_short:	Public available online (https://site.inali.gob.mx/Micrositios/normas/otomi.html)
# copyright_long:	NA
# sample_type:	whole
# comments:	Spanish translations included

<line_1>	NJAUA
<translation>	El presente documento tiene como propósito dar a conocer los resultados, acuerdos y propuestas derivados de los doce talleres interestatales para la normalización de la escritura de la lengua Hñähñu iniciados en el año 2002 y concluidos en el año 2014.
<line_33>	Nu ya 'be̱fi bi thoki nxo̱ge ka ya hmunts'ä 'be̱fi, nup'u̱ manga ya 'ra'yo mfädi ya nkohi ra nt'ot'i,
<translation>	De las acciones emprendidas en los diferentes talleres se puntualiza: la actualización de las normas de escritura,
<line_34>	ne ya nt'u̱i, hanja di thuts'i ya nt'ofo, njap'u̱ nehe mä 'ra ya mpeu̱i da fats'i di nt'ot'i ra hñähñu
<translation>	la aplicación de las reglas ortográficas, la creación de textos de diversos géneros, así como las grafías que complementan el alfabeto de la lengua hñähñu
<line_35>	ja njap'u̱ gä pähu̱ xä hño ra nt'ui ra nt'ofo.
<translation>	para conformar y apropiarse del sistema de escritura.
<line_36>	Rá nt'u̱i ra nt'ot'i n'a ra hñäki ndu̱i ko ra nt'e̱gi ya nkohi nt'ofo, ge hmunts'i gatho ya hñe̱'tsähñä ne m'e̱fa da rats'i, da t'o̱t'e da japi ya me̱ti ya nkohi pa to'u̱ pädi ra hñä.
<translation>	El proceso de la normalización de la escritura de una lengua comienza por el establecimiento de las normas ortográficas de un idioma, que aglutina a todas las variantes dialectales y continúa con la difusión, aplicación y apropiación de las normas por parte de los hablantes de una lengua.
<line_37>	Njap'u̱ nehe a̱di ge dä nja ngetho da hnu, da thandi, ne da t'o̱t'äue̱nda nu ya 'ray'o nkohi, ge'ä da hoku̱a ra nt'u̱i, ngu ma hyoni da t'o̱t'e njap'u̱ ya mpo̱te, di ndu̱i ha pa ya n'añ'o t'ofo, njabu̱ xä za da̱ ze̱di ya nkohi num'u̱ xta 'yot'i.
<translation>	Así mismo, exige que de manera periódica se analice, revise, evalúe y actualice sus normas a fin de lograr su sistematización, por lo que es necesario realizar constantes ajustes a partir de la aplicación de las reglas en la producción de diversos tipos de textos; lo cual permitirá consolidar las reglas a partir de su uso.
<line_38>	Ya ñähñu nga̱tho ndi ñähe ra n'añ'o nt'ofo hinda za̱ ga ñäkju̱ ya hñe̱'tsähñä ka ya däänga hnini.
<translation>	Los hablantes de la lengua hñähñu hemos venido utilizando diversas formas de escritura, reconociendo las variantes establecidas en las diferentes regiones de los estados, además de la representación de los signos.
<line_39>	Ko nu ya nt'ot'i xä nt'ofo ya hñäki xta mbeñhe da nja n'a ra nt'u̱i pa da t'ot'i nuna hñä, hange xta mambihe ne xta ot'ihe ra ya nkohi pa ga̱tho to'o ñätho, njabu̱ xta behñe ge mahyoni da nt'ot'i kongehya ya t'ofo.
<translation>	Ante esta variedad, los hablantes hemos tomado la decisión de unificar la escritura a nivel de lengua, por ello definimos algunas de las normas de escritura válidas para toda el área lingüística hablante.
<line_40>	Mahyoni da bädi ge nuna nkohi ho̱nse̱ pa ge ra nt'ot'i, pe hinge pa ra hñä ngétho ya jä'i da ñätho ngu da ñä.
<translation>	Es necesario aclarar que se trata de la normalización de la escritura del Hñähñu y que de ninguna manera se intenta normalizar el habla, puesto que las personas seguirán hablando como lo hacen de manera cotidiana.
<line_41>	Nuna rá nkohi nt'ofo Hñähñu bi t'o̱t'e̱ ko yá mfa̱ts'i ya ñähñu ne ya xa̱hnate ñätho, ya mfa̱xte ngumfädi ñäkä hñähñu ya mengu di gehnu̱ Nt'a̱t'i, Hñu̱nthe, M'onda̱, Ndema, Maxei, Mahme, Maxu̱ni ne Pont'ämajuäni, ko ra nju̱t'ä'ñuu ra dätä ngunxa̱di M'onda̱ ne ra ngunxadi pa ra nt'ütate ya 'e̱fi yoho ya hñä.
<translation>	En este sentido, las normas de escritura de la lengua hñähñu fueron definidas por los hablantes con la participación de profesores bilingües, representantes de la Academia de Lengua y Cultura Hñähñu, representantes de Instituciones, Universidades y Municipios, así como personas de diversas poblaciones de los Estados de Guanajuato, Hidalgo, Estado de México, Puebla, Querétaro, Tlaxcala, Michoacán y Veracruz; con el apoyo de la Secretaría de Educación de estos estados, en coordinación con la Dirección General de Educación Indígena y por el Instituto Nacional de Lenguas Indígenas.
<line_42>	Pa da nt'ofo ngu di 'ñeehe nunä nt'u̱i xä 'yo̱t'ä ra 'me̱di da fädi te xa 'be̱fi ko nuna hñä, hange xä t'o̱t'e 're̱t'a ma n'a ya hmunts'ä 'b e̱fi pa xä nkohi tengu ya nt'ofo tsa̱ di nt'ot'i ra Hñähñu.
<translation>	El proceso de normalización de la escritura de la lengua hñähñu ha implicado la realización de trece talleres, en donde finalmente se definieron el número de letras a nivel de lengua, la promoción y evaluación de las normas, para valorar los avances y actualizar estas normas mediante el análisis y discusión de su uso en la producción de diversos textos. 
<line_43>	• Mudi mhúnts'i: Ndexthi, Mbi'tho, Ma ts'ani, Ndema . hñäto zänä ra jeya 2002.
<translation>	• En Agua de Carrizo, San Pablito, Pahuatlán, Puebla, agosto de 2002.
<line_44>	• Yoho mhúnts'i: 'Bo'mintza, Ndenthi, Maxei. Goho zänä ra jeya 2003.
<translation>	• En Bomintza, Tolimán, Querétaro, abril de 2003.
<line_45>	• Hñuu mhúnts'i: Ntudi, Hñetho, Pont'ämajuäni. Hñäto zänä ra jeya 2004.
<translation>	• En Tzicatlán, Texcatepec, Veracruz, agosto de 2004.
<line_46>	• Goho mhúnts'i: N'a hnini, Nxamge, M'onda. Goho zänä ra jeya 2005.
<translation>	• En Pueblo Nuevo, Acambay, Estado de México, abril de 2005.
<line_47>	• Kut'a mhúnts'i: Nxäthe 'Bext'ent'oho, Ndema. Hñäto zänä ra jeya 2006.
<translation>	• En Ixtololoya, Pantepec, Puebla, agosto de 2006.
<line_48>	• 'Rato mhúnts'i: Nts'otk'ani, Hñunthe. Ra r'ato zänä ra jeya 2007.
<translation>	• En Ixmiquilpan, Hidalgo, junio de 2007.
<line_49>	• Yoto mhúnts'i: Mpathe, T'axhai, Nt'at'i. Ra 'rato zänä ra jeya 2008.
<translation>	• En Cieneguilla, Tierra Blanca, Guanajuato, julio de 2008.
<line_50>	• Hñäto mhúnts'i: Rä hnini M'onda. Ra gäxä zänä rä jeya 2008.
<translation>	• En la Ciudad de México, Distrito Federal, diciembre de 2008.
<line_51>	• Guto mhúnts'i: Silao, Nt'at'i. Ra guto zänä ra jeya 2011
<translation>	• En la ciudad de Silao, Guanajuato, septiembre de 2011
<line_52>	• 'Ret'a mhúnts'i: Maxei, Maxei. Ra goho zänä ra jeya 2012
<translation>	• En la ciudad de Querétaro, Querétaro, abril de 2012.
<line_53>	• 'Ret'a ma n'a mhúnts'i: M'onda ra 'ret'a zänä ra jeya 2012.
<translation>	• En la ciudad de México, Distrito Federal, octubre de 2012.
<line_54>	• 'Ret'a ma yoho mhúnts'i: Mamhe, hñu zänä ra jeya 2013.
<translation>	• En la ciudad de Tlaxcala, marzo de 2013.
<line_55>	• 'Ret'a ma hñu mhúnts'i: Pont'ämajuäni ra hñu zänä ra jeya 2014.
<translation>	• En la ciudad de Veracruz, Veracruz marzo de 2014.
<line_56>	Ko nuya ya ret'a ma hñu mhunts'a m'efi bi t'ofo ra he'mi Njaua ra nt'ot'i ra Hñähñu, ha pets'ä goho ya nt'üdi;
<translation>	Como resultado de estos trece talleres se cuenta con un documento actualizado denominado Normas ortográficas para la escritura de la lengua Hñähñu, integrado por cuatro apartados: 
<line_57>	1. Ya nt'ofo ne hanja di nt'ot'i, habu bi gohi ya nt'ofo  di nt'ot'i ra hñähñu. 
<translation>	1. Las letras y sus reglas de uso, en el cual se presentan las grafías determinadas en el alfabeto para la escritura de la lengua Hñähñu.
<line_58>	2. Ya mpeui nt'ot'i, ra nkohi pa ra nt'ofo ra hñähñu.
<translation>	2. Los signos ortográficos y sus reglas de uso para la escritura de esta lengua.
<line_59>	3. Ya xeka hñä 'yomfeni ne ya mhihi
<translation>	3. La palabra que aborda la descripción de homónimos, sinónimos, así como la existencia de préstamos derivados de otras lenguas.
<line_60>	4. Ya t'ut'ähñä, ha mää ge hinga mahy ́egi ya hñä ne ya 'ra'yo hñä.
<translation>	4. Un glosario que enuncia las variantes léxicas y la creación de nuevas palabras.
<line_61>	 Ra ngäts'i bi t'o̱t'uäbi n'a ra mha'ti ga̱tho ya jä'i ñätho, ne t'a̱pi ya xa̱hnate, ya ngumfädi to uti ra hñähñu
<translation>	 Finalmente, se convoca a la población Hñähñu y se exhorta a los profesores, así como a las academias de la cultura Hñähñu,
<line_62>	 ya nguts'u̱tbi, ne ya ngunsu, njabu̱ nehe ga̱tho ya 'yongä hñä ge da mpefi ko ra nkohi ra nt'ot'ä hñähñu, 
<translation>	instituciones públicas, municipales, estatales, federales y organismos privados, además a los medios de comunicación, en general, a que utilicen las normas de escritura de esta lengua en la producción,
<line_63>	ra t'ofo ne ra mhä ya n'añ'o mfeeni ha gatho ya m'u̱i, habu̱ da mänga ya hñä da ngu ra ts'e̱di ra nt'ofo ne ra nsa̱di,
<translation>	dición y difusión de diversos tipos de textos en los diferentes ámbitos en los que se promuevan acciones que fortalezcan la lectura y escritura,
<line_64>	da nt'ofo ne da nxa̱di da njap'u̱ ra hñä ra hñähñu, da ntu̱ngi pa da ñä nga̱tho ya ñätho m'u̱ kja ya hnini
<translation>	de tal manera que la lengua Hñähñu sea un medio de comunicación social.
<line_65>	MU̱DI XE̱NI
<translation>	PRIMERA PARTE
<line_66>	NJAUA RÁ NT'OT'I RA HÑÄHÑU
<translation>	LAS LETRAS Y SUS REGLAS DE USO
<line_67>	Nuya ya nt'ofo kuat'ua gehyu̱ di ñ'ofo ga̱tho to'o ot'i ra Hñähñu,
<translation>	Las letras que se presentan para la escritura de la lengua Hñähñu,
<line_68>	nubya ra ñ'ot'i ja da bo̱ngua ya 'ñuu, pa ge da ñhye̱tho ra nt'ot'i nga̱tho ya himahye̱tho ya hñä, njap'u̱ ga pähu̱ tem'e̱ mää.
<translation>	se utilizan en todas sus variantes lingüísticas, de su uso se deducen las reglas que a continuación se describen a fin de establecer su normalización en la producción y comprensión de textos.
<line_69>	Njaua rá nt'ot'i ra Hñähñu
<translation>	Las letras de la escritura Hñähñu
<line_70>	Ra hñähñu pe̱'ts'i n'a̱te ma yoho ya nt'ofo:
<translation>	El sistema de escritura de lengua Hñähñu consta de 22 consonantes:
<line_71>	yoho gua ge ya nt'ofo: 
<translation>	2 semiconsonantes:
<line_72>	ne k'u̱t'a ya mpo̱xhñu
<translation>	y 5 nasales:
<line_73>	xo̱ge n'a̱te ne re̱t'a ma yoto ya nt'ofo ne njaua nteni:
<translation>	En total, el alfabeto Hñähñu lo integran 38 letras en el siguiente orden:
<line_74>	Mhunts'a nt'ofo Hñähñu
<translation>	Alfabeto Hñähñu
<line_75>	Dänt'ofo
<translation>	Consonantes mayúsculas
<line_76>	Ch'u̱lo nt'o fo
<translation>	Consonantes
<line_77>	Ra thuhu
<translation>	Nombre de la letra
<line_78>	Dämpo̱hne
<translation>	Vocales mayúsculas
<line_79>	Ch'u̱lo mpo̱hne
<translation>	Vocales minúsculas
<line_80>	Hanja da nt'ot'i ya nt'ofo
<translation>	Las consonantes y sus reglas de uso
<line_81>	Rá nt'ofo ra /b/:
<translation>	La letra b se escribe:
<line_82>	Rá ndu̱i ra hñä, ngu:
<translation>	Al inicio de palabra, como en:
<line_83>	Ya nzu̱ni
<translation>	Los tonos
<line_84>	Ra nzu̱ni ya nt'ofo ra Hñähñu, ge'ä di nt'o̱de num'u̱ gra ña ne ma te di bo̱ni ya hñä.
<translation>	Los tonos en la lengua Hñähñu proveen de una distinción de significados de las palabras; 
<line_85>	Ka ra Hñähñu pets'i hñu ya nzu̱ni: ra nts'e̱di, ra tsiinjante ne ma'ra xa maa.
<translation>	existen tres tonos: tono bajo, tono alto y tono ascendente.
<line_86>	Ra nzu̱ni nts'e̱di pa ka ya hñä ha ma to ya me̱ti, ya mpe̱ui thuhu ne ya hñä ha jar 'me̱di.
<translation>	El tono alto se escribe en los artículos posesivos, en los proclíticos verbales y en el resto de las palabras donde sea necesario su registro
<line_87>	Ya hñä ko ya nzu̱ni
<translation>	 Pares mínimos tonales. 
<line_88>	Pa da nhuu nuya ya nzu̱ni bi thoni ya nt'ot'iu̱ pe̱ts'i n'a, yoho ya hñä, pa da dimbi ra nzu̱ni.
<translation>	Para diferenciar los tres tonos, se presentan a continuación palabras monosilábicas y bisilábicas que presentan el contraste tonal.
<line_89>	nzu̱ni nts'e̱di
<translation>	tono alto
<line_90>	nzu̱ni xä maa 
<translation>	tono ascendente
<line_91>	nzu̱ni nts'edi 
<translation>	tono alto
<line_92>	nzu̱ni zinjante 
<translation>	tono bajo 
<line_93>	Nu'ä ra nzu̱ni xä maa di t'ot'i ko yoho ya pohñä. Ngu:
<translation>	El tono ascendente se registra con doble vocal. Ejemplos:
<line_94>	Ra juäna nt'ot'i ( ́) mahyoni pa ya nzuni nts'edi. Ngu
<translation>	La tilde ( ́) se utiliza para representar el tono alto. Ejemplos: 
<line_95>	Nu ya hñä nu'u̱ hingi nzu̱ni nts'e̱di, hinte ga huxu̱. Ngu:
<translation>	El tono bajo no se registra gráficamente
<line_96>	Ya dänt'ot'i ne ya t'u̱nt'ot'i
<translation>	Las mayúsculas y minúsculas 
<line_97>	Ya hñä me̱t'o pa da bo̱ni ya nzu̱ni tsiinjante ne ya nzu̱ni pa̱ti ra ya'ä ne ra jä'i nu ka ya hñä. Ngu:
<translation>	En los proclíticos del Hñähñu se encuentran los tonos bajo y alto, estos modifican el tiempo y la persona en una frase y oración. Ejemplos: 
<line_98>	Da t'ot'i ko ra dänt'ot'i ja ra ndu̱i:
<translation>	Se escribe con mayúscula:
<line_99>	Ra ndu̱i ra nt'ot'i, ha ra ngäts'i ha du̱i ma n'a ra nt'ot'i ne ha pa n'a ra nto̱ts'e, ha juadi ne du̱i ma n'a ra nt'ot'i.
<translation>	La primera letra al inicio de un párrafo, oración, frase y después de punto y seguido y de punto aparte. Por ejemplo: 
<line_100>	Ya thuhu ya jä'i:
<translation>	La primera letra de los nombres propios como: 
<line_101>	Ya thuu dähni ne nanguadi, ya t'u̱hnini ne ñaxuhnini:
<translation>	Nombres de localidades, municipios, ciudades, estados, países y continentes: 
<line_102>	Ya thuhu ya Tsidähmu:
<translation>	Los nombres de deidades: 
<line_103>	Ya thuhu ya t'o̱ho̱ ne ya däthe:
<translation>	Los nombres de cerros y ríos:
<line_104>	Ya thuhu ya makahai:
<translation>	Los nombres de centros ceremoniales o lugares sagrados:
<line_105>	Ya thuhu ya däñ'u:
<translation>	Los nombres de calles:
<line_106>	Ndunthi ya nt'ot'i di thuts'i ko ya t'u̱nt'ot'i.
<translation>	Las palabras comunes se escriben con minúscula.
<line_107>	Hyandi: Ra 'be̱t'o hñä ya nt'ofo, ja ya thuhu ne 'bu̱ bi tho n'a nt'o̱ts'e. 'bu̱ ba ma n'a ', da ma n'a dänt'ot'i.
<translation>	Observación: Las palabras que inician con glotal en nombres propios, inicio de párrafo, punto y seguido, punto y aparte se escribirán en letra mayúscula después de glotal.
<line_108>	Nuna di njaua ngetho hinñ'otho hanja gi hñuts'i ko dänt'ot'i ne t'u̱nt'ot'i ra'. Ngu:
<translation>	Esta regla se anota debido a que no existe una distinción en la glotal entre la letra mayúscula y la minúscula. Ejemplos:
<line_109>	Ya t'o̱t'änt'ani
<translation>	 Los signos de interrogación
<line_110>	Las frases de interrogación siempre iniciarán con mayúscula.
<translation>	Los signos de interrogación ¿? se registrarán para formular preguntas.
<line_111>	¿Ha xa pa? 
<translation>	¿Está caliente?
<line_112>	¿Ha gi mpe̱fi? 
<translation>	¿Estás trabajando?
<line_113>	¿Ha gi pe̱'ts'i? 
<translation>	¿Tienes?
<line_114>	¿Xa pa? 
<translation>	¿Está caliente?
<line_115>	¿Gi mpe̱fi? 
<translation>	¿Estás trabajando?
<line_116>	¿Gi pe̱'ts'i? 
<translation>	¿Tienes?
<line_117>	¿Gä ehe? 
<translation>	¿Viniste?
<line_118>	¿To'o ga me̱ui? 
<translation>	¿Con quién fuiste?
<line_119>	¿Te'be̱'ä gi o̱t'e? 
<translation>	¿Qué haces?
<line_120>	¿Te ri thuhu? 
<translation>	¿Cómo te llamas?
<line_121>	¿Hängu nje̱ya gi pe̱'ts'i? 
<translation>	¿Cuántos años tienes?
<line_122>	¿Habu̱ gi 'bu̱i? 
<translation>	¿Dónde vives?
<line_123>	¿Häm'u̱ gi ma? 
<translation>	¿Cuándo te vas?
<line_124>	¿Hänja? 
<translation>	¿Cómo?
<line_125>	¿Te'ä?
<translation>	¿Mande?
<line_126>	¿Tengu'ä? 
<translation>	¿Cómo es?
<line_127>	¿Yo'ä?
<translation>	¿Por qué?
<line_128>	Ya nd'u̱i de ga 'yo̱o̱
<translation>	Los signos de admiración
<line_129>	Num'u̱ di johyahu̱, nkuehu̱, nts'o̱mihu̱, tsuhu ne pa da t'o̱xkähu̱ di hohñu̱ nu ya nt'u̱i xi di 'yoohu̱ (¡!). Nuya da nt'ot'i ko ra dänt'ot ́i 
<translation>	Los signos de admiración ¡ ! se utilizarán para expresar sorpresa, entusiasmo, alegría, miedo, dolor o bien para llamar la atención hacia alguna cosa o denotar énfasis y siempre iniciará con mayúscula.
<line_130>	¡Gehnu̱ ri ximo! 
<translation>	¡Esa es tu jícara!
<line_131>	¡Te gä 'yo̱t'e! 
<translation>	¡Que hiciste!
<line_132>	¡Xä nts'o! 
<translation>	¡Que feo!
<line_133>	¡Gehnu̱ ri ta! 
<translation>	¡Ese es tu papá!
<line_134>	¡Ge ri me̱ti! 
<translation>	¡Es tuyo!
<line_135>	¡Ma̱ha̱ ja huähi! 
<translation>	¡Vamos a la milpa!
<line_136>	¡Xupia! 
<translation>	¡Y ahora!
<line_137>	¡tsi menku̱te! 
<translation>	¡Pobrecito!
<line_138>	¡tsi me̱gi tada! 
<translation>	¡Pobrecito señor!
<line_139>	Ya nt'u̱i nk'äts'i di hähu pa ga padihu̱ xä hño nu'a di ot'ihu̱ ne ya m'a̱i ma hyoni pa num'u̱ da thë't'i na ra nt'ofonfëni
<translation>	Los signos de puntuación se usan para expresar y comprender adecuadamente el significado de lo escrito e indicar las pausas de la lectura.
<line_140>	Da nt'ot'i n'a ra nkät'i (,)
<translation>	Se escribe coma (,):
<line_141>	Pa da ueke ya nt'ot'i di ge ya 'mede.
<translation>	Para separar las palabras de una enumeración.
<line_142>	Pa da eu'ke di nga̱tho ra hñä, n'a ra mhä ra za̱.
<translation>	Para separar una idea en una oración, una aclaración o explicación.
<line_143>	Pa da ueke ya ch'u̱lo mfeni ha mhä nga̱tho te gi ne gi mää.
<translation>	Para separar de la oración expresiones como:
<line_144>	Nu'mu̱ da mpa̱di di ge'ä di gätsi ra hñä.
<translation>	Para separar oraciones muy breves con sentido completo.
<line_145>	Pa da mhä ge xa hñaki na ra o̱t'e ne ho̱nse̱ mangä n'a.
<translation>	Cuando se invierte el orden lógico del complemento de la oración.
<line_146>	Da t'ot'i ra nto ̄ts'e ne ra t'u̱m'a̱i (;)
<translation>	Se escribe punto y coma (;)
<line_147>	Pa da nëgi habu̱ ja n'a ra dängä m'a̱i hinge ma hie̱gi ko ra nkät'i ne da ma habu̱ ja ra ngu̱hnamfëni, ngu:
<translation>	Para marcar una pausa de mayor duración que la coma y para indicar una secuencia de la oración, por ejemplo:
<line_148>	Mande dä mpe̱fi, nubya hina; ge bidü ma mengu. 
<translation>	Ayer trabajé, hoy descansé, porque falleció un familiar.
<line_149>	¡Da nxaa ma nde, Nubya hina; ngetho m'u̱ xudi xa tse̱! 
<translation>	¡Ayer me bañé, hoy no, porque en la mañana hace frío!
<line_150>	Pa da ueke yoho ya mfeni ha ra nt'ot'i.
<translation>	Para secuenciar dos ideas dentro de una misma oración: 
<line_151>	Gä pädi gentho gä pädi ga ot'i ra Hñähñu; ho̱ntse̱ di ñ'entho m'u̱ya da huts'i.
<translation>	Aprendo porque aprendo a escribir Hñähñu, sólo que juego a escribir.
<line_152>	Nubya ga mpe̱fi, ri xudi hïna; ge gä m'a ma döhnini Maxëi.   
<translation>	Hoy trabajaré, mañana, no, porque iré a la ciudad de Querétaro.
<line_153>	Da nt'o't'i yoho ya nto̱ts'e (:)
<translation>	Se escriben dos puntos (:)
<line_154>	Pa da nja n'a ra dängä m'a̱i ne da nëgi ge hingi juadi nu'ä ra mfeni hmää, 'bu̱ da fu̱di ya nt'u̱i mfeni ne 'bu̱ da ueke ma'ra ya mfeni, ngu ya hñä ena:
<translation>	Para marcar una pausa mayor que la del punto y coma, señalando que la expresión del mensaje todavía no ha concluido, para enumerar palabras u oraciones, para citar textualmente expresiones como: 
<line_155>	tada ndä, ñ'oui, tada ñänte ne ma ra, ne pa da fu̱di ma n'a ra hñä.
<translation>	señor autoridad, mi querido amigo, estimado licenciado, y para indicar que se inicia un diálogo.
<line_156>	1. Di ne ga xi'ai:
<translation>	1. Quiero decirte:
<line_157>	2. Nu'mu̱ nonxi gä ta̱nga̱: yä ixi, yä hme në yä ñ'i.
<translation>	2. El lunes compro duraznos, tortillas y chiles.
<line_158>	3. Nu'bu̱ gra b'u̱ka ri xudi di ne gä xi'i: ge xa di bëña'i, gi nza̱tho, gra me̱fi ne di ui'ï.
<translation>	3. Si viviera mañana, quisiera decirte que me acuerdo de ti, eres bonita, muy trabajadora y te sueño.
<line_159>	Tada ts'u̱tbi:  
<translation>	Señor autoridad:
<line_160>	Lenxo Maye Ndema:  
<translation>	Lorenzo Valle Puebla:
<line_161>	Ma xudi Pilo mi ñöui ra Do̱ni ha ge da o̱de mi möñu̱:
<translation>	En la mañana, Porfirio platicaba con Flor y escuché que decían:
<line_162>	– Pilo: O̱de tsi Do̱ni xa ga ts'u̱nganza̱.
<translation>	– Porfirio: Oye Flor, eres muy bonita.
<line_163>	–Do̱ni: ¡Ää!, gi ñömfo̱.
<translation>	– Flor: ¡Ah!, hablas español.
<line_164>	Da nt'ot'i hñu ya nto̱ts'e hingi juadi (...)
<translation>	Se escriben puntos suspensivos (...)
<line_165>	Pa da japi da 'yo̱o̱ to nxa̱di, da ntsu ne da the̱ki n'a ra t'ofomfeni ja n'a ra nt'ot'i.
<translation>	Para sorprender al lector, dejar en suspenso, expresar duda, temor o algo inesperado, así como una frase incompleta, una oración, un párrafo o un texto.
<line_166>	Nuga̱ hindä za̱ gä ma ja däthe xi'mu̱...  
<translation>	No iré al mar porque...
<line_167>	Nunä ra jä'i mpu̱ni made nxui...  
<translation>	A media noche esta persona se transforma en...
<line_168>	Nuga̱ xi di ne'i, hindi pädi hanja...   
<translation>	Yo te quiero, no sé porque...
<line_169>	Di ne ga nxa̱di pege...
<translation>	Quiero estudiar pero...
<line_170>	Da nt'ot'i nto̱ts'e ne nte̱ni (.)
<translation>	Se escribe punto y seguido (.)
<line_171>	Pa da gäts'i n'a ra t'ofomfeni ne da te̱ti ko ma n'a, getho manga mahie̱gi.
<translation>	Para finalizar una oración cuyo sentido está completo y continuar con otra vinculada a la primera.
<line_172>	Ya jä'i mpe̱fi ga̱tho ya pa. Nu'mu̱ di handi di ne gä fe̱ti.   
<translation>	La gente trabaja todos los días. Cuando los observo, quiero imitarlos.
<line_173>	Da nt'ot'i nto̱ts'e pa gi du̱ ma n'a (.)
<translation>	Se escribe punto y aparte (.)
<line_174>	Pa da nëgi habu̱ juadi ra ndu̱imfeni ne da thogi ma n'a ra nt'ot'i.
<translation>	Para señalar la terminación de una serie de ideas, sin cambiar el sentido del texto.
<line_175>	Yä bätsi bi ñ'ëni ga'tho rä xudi, nge'ä mi ne nda nxa̱di. 
<translation>	Los niños jugaron toda la mañana porque querían estudiar. 
<line_176>	Mi ndee bi ma bä su ya de̱ti.
<translation>	Por la tarde se fueron a pastorear las borregas
