# language_name_wals:	Imonda
# language_name_glotto:	Imonda
# ISO_639-3:	imn
# year_composed:	NA
# year_published:	1985
# mode:	spoken
# genre_(broad):	non-fiction
# genre_(narrow):	oral tradition
# writing_system:	Latn
# special_characters:	The special characters are explained in Seiler (1985), p. 16 with reference to IPA conventions. ë: central close-mid vowel, õ: open back vowel, è: front open-mid vowel, ò: back open-mid vowel, ã: front open-mid to open vowel (IPA æ).
# short_description:	An Imonda story called "Sugõ-na maklõfõklõ"
# source:	Seiler, Walter (1985). Imonda, a Papuan language. Pacific Linguistics, Series B, No. 93.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:	whole
# comments:	When there is a white space within a gloss for a root then this is replaced with '.' (in line with the Leipzig glossing rules), e.g. in the first line, "go down-PST" becomes "go.down-PST". Note that lines do not correspond to sentences. In the original text, a morpheme segmentation is already given in the Imonda text. Here, we remove the hyphens in <line_x> and give the original segmentation in <segmentation>.

<line_1>	id kubui isiiam fõhõn . tëlaluõ egln .
<segmentation>	lõ mõs .
<glossing>	tooth nose
<translation>	face .

<line_10>	hapiana . falgõ iabhõnaba . falgõ iabhõnaba nne
<segmentation>	ha-pia-na . falgõ i-ab-hõ-na-ba . falgõ i-ab-hõ-na-ba nne
<glossing>	MO-come-PST bow CL-PL-put-PST-TO bow CL-PL-put-PST-TO food
<translation>	Having come . Having put down his bow . Having put down his bow he

<line_11>	iòb . safa , uèb . ednèi nenb atha iòb .
<segmentation>	i-òb . safa , uèb . ed-nèi ne-n-b atha i-òb .
<glossing>	CL-PL taro yam PX-SRC eat-PST-DUR sugarcane CL-PL
<translation>	got food . Taro , yam . He ate this and then got sugarcane .

<line_12>	atha nenb ese . esna sogna poi .
<segmentation>	atha ne-n-b es-e . es-na sog-na poi .
<glossing>	sugarcane eat-PST-DUR sago-D sago-CO apika-CO pitpit
<translation>	He ate sugarcane and then sago . Sago , apika and pitpit .

<line_13>	ednèina ne . ednèina nenb sapoh uatèi
<segmentation>	ed-nèi-na ne . ed-nèi-na ne-n-b sapoh uatèi
<glossing>	PX-SRC-CO eat PX-SRC-CO eat-PST-DUR tobacco betelnut
<translation>	He ate this with sago . He ate this and then got tobacco and

<line_14>	iòb . udõ guasianaba . sapoh uatèi
<segmentation>	i-òb . udõ guas-ia-na-ba . sapoh uatèi
<glossing>	CL-PL netbag CL-get-PST-TO tobacco betelnut
<translation>	betelnut . Having fetched his netbag . Having fetched tobacco

<line_15>	iòbnaba . fil fle . ednèi nenb agõianèim
<segmentation>	i-òb-na-ba . fil fle . ed-nèi ne-n-b agõ-ianèi-m
<glossing>	CL-PL-PST-TO lime pepper PX-SRC eat-PST-DUR women-NPL-GL 
<translation>	and betelnut . Lime and pepper . He ate this and then quickly

<line_16>	ainam faikõhõ faeha kse . ksenb
<segmentation>	ainam fa-i-kõhõ fa-eha kse . kse-n-b
<glossing>	quickly CL-LNK-go CL-put fuck fuck-PST-DUR
<translation>	grabbed the woman , laid her down and fucked her . He fucked and

<line_17>	ksenb ksenb . ksepadanaab , utafõ .
<segmentation>	kse-n-b kse-n-b . kse-pada-na-ab , utafõ .
<glossing>	fuck-PST-DUR fuck-PST-DUR . fuck-finish-PST-TO go
<translation>	fucked and fucked her . Having finished fucking her , he went .

<line_18>	falgõ iòb . haifõ mugõ uagl fe . agõianèi sum
<segmentation>	falgõ i-òb . haifõ mugõ uagl fe . agõ-ianèi sum
<glossing>	bow CL-PL again completely go do women-NPL behind
<translation>	He collected his bow . He went away again . The woman

<line_19>	pada na . sum egnb egnb
<segmentation>	pada -na . sum eg-n-b eg-n-b
<glossing>	stand-BEN . behind follow-PST-DUR follow-PST-DUR
<translation>	followed him . She followed him and followed him

<line_20>	naglaieganb . pëkamaiam pehaf .
<segmentation>	nagla-i-eg-a-n-b . pëkama-ia-m peha-f .
<glossing>	see-LNK-follow-LNK-PST-DUR grave-LOC-GL go.down-PRS
<translation>	and followed him , watching him closely . He descended into his grave .

<line_21>	fëthe keualnaba , edlasuõ peha , haifõ pëkamaiam .
<segmentation>	fëthe keual-na-ba , ed-la-suõ peha , haifõ pëkama-ia-m .
<glossing>	ground open-PST-TO PX-area-EMP go.down again grave-LOC-GL
<translation>	The earth having opened , there he descended again into his grave .

<line_22>	ehefna pëkamaiam . pehanaba , agõianèi nagian ,
<segmentation>	ehe-f-na pëkama-ia-m . peha-na-ba , agõ-ianèi nagia-n ,
<glossing>	3-EMP-POS grave-LOC-GL descend-PST-TO women-NPL see-PST
<translation>	Into his own grave . Having descended , the woman looked ,

<line_23>	ed pehaf . naglahape . naglahapenaba ,
<segmentation>	ed peha-f . nagla-hape . nagla-hape-na-ba ,
<glossing>	PX descend-PRS see-return see-return-PST-TO
<translation>	there he descended . She looked and came back . Having looked and

<line_24>	haifõ ehefa hapiaf . tëlal puhõ . tëlal
<segmentation>	haifõ ehe-fa ha-pia-f . tëla-l puhõ . tëla-l
<glossing>	again 3-TO MO-come-PRS husband-NOM come.up husband-NOM
<translation>	returned , she came back again . Her husband arrived . Her husband

<line_25>	puhõna ia ! nne kana iòbnau ! pon kam
<segmentation>	puhõ-na ia ! nne ka-na i-òb-na-u ! pon ka-m
<glossing>	come.up-PST EXC food 1-POS CL-PL-BEN-IMP hunger 1-GL
<translation>	having arrived , well ! Bring me my food !

<line_26>	haf . pon kam haf . nne kam iòbnau !
<segmentation>	ha-f . pon ka-m ha-f . nne ka-m i-òb-na-u !
<glossing>	affect-PRS hunger 1-GL affect-PRS food 1-GL CL-PL-BEN-IMP
<translation>	I am hungry . I am hungry . Bring me my food !

<line_27>	õnanõ haifõ bësèi nne . nnefa nefa nõmot at
<segmentation>	õ-na-n-õ haifõ bësèi nne . nne-fa ne-fa nõmot at
<glossing>	say-BEN-PST-D again what food food-TO 2-TO earlier COM
<translation>	She said : what food again . You have eaten your food

<line_28>	nehauagln . nena auaia . auaia , nõmot kafa ahnèinam
<segmentation>	ne-ha-uagl-n . ne-na auaia . auaia , nõmot ka-fa ah-nèi-nam
<glossing>	eat-MO-go-PST 2-POS no no earlier 1-TO Q-SRC-DER
<translation>	earlier on . Your food is gone . No , when did I come earlier .

<line_29>	hapian . kafa õh mugõ hapia fef . ma ! befauõ
<segmentation>	ha-pia-n . ka-fa õh mugõ ha-pia fe-f . ma ! be-f-auõ
<glossing>	MO-come-PST 1-TO PX completely MO-come do-PRS EXC 2-EMP-EMP
<translation>	It is only now , that I arrive here . Oh ! You stay on

<line_30>	alelau ! ka toadm lõlnòg
<segmentation>	ale-la-u ! ka toad-m lõl-nòg
<glossing>	stay-EMP-IMP 1 boys-GL talk-in vain
<translation>	your own ! I talked to the boys

<line_31>	fesëlõhnënb . ka toadm lõlnòg
<segmentation>	fe-sëlõh-n-ë-n-b . ka toad-m lõl-nòg
<glossing>	do-in.vain-BEN/NS-LNK-PST-DUR 1 boys-GL talk-in.vain
<translation>	in vain . I talked and talked

<line_32>	fesëlõhnënb , mag hapia hapia , auaia ,
<segmentation>	fe-sëlõh-n-ë-n-b , mag ha-pia ha-pia , auaia ,
<glossing>	do-in.vain-BEN/NS-LNK-PST-DUR one MO-come MO-come no
<translation>	to the boys in vain , one is coming or not , but no , the boys simply

<line_33>	toad agupa fin . ka kafauõsuõ hapia . eduõ .
<segmentation>	toad agu-pa fi-n . ka ka-f-auõ-suõ ha-pia . ed-uõ .
<glossing>	boys ear-? do-PST 1 1-EMP-EMP-EMP MO-come PX-TO
<translation>	listened , but did not come . I came on my own . And then .

<line_34>	ièfiam . nne ednèi nenb ièfiam utafõ .
<segmentation>	ièf-ia-m . nne ed-nèi ne-n-b ièf-ia-m utafõ .
<glossing>	house-LOC-GL food PX-SRC eat-PST-DUR house-LOC-GL go
<translation>	Homeward . He ate that food and then went home .

<line_35>	euaglual . ièfiam euaglualnaba , sinamfa
<segmentation>	e-uagl-ual . ièf-ia-m e-uagl-ual-na-ba , si-nam-fa
<glossing>	DL-go-DL house-LOC-GL DL-go-DL-PST-TO night-DER-TO
<translation>	They went . Having gone home , at night she was

<line_36>	iahafna . sinam iahanaba , tëlal sabehana kouale .
<segmentation>	iaha-fna . si-nam iaha-na-ba , tëla-l sabeha-na koual-e .
<glossing>	die-PRO night-DER die-PST-TO husband-NOM magic-INS cut-D
<translation>	dying . She having died at night , her husband worked magic .

<line_37>	toadm abõ fenaõ mugõ fenaõ mugõ defõ fe .
<segmentation>	toad-m abõ fe-na-õ mugõ fe-na-õ mugõ defõ fe .
<glossing>	boys-GL simply do-PST-D completely do-PST-D completely die do
<translation>	The boys simply did , completely did , completely died .

<line_38>	ale hoi ale hoi toadm mugõ defõ .
<segmentation>	ale hoi ale hoi toad-m mugõ defõ .
<glossing>	stay NEG stay NEG boys-GL completely die
<translation>	There was none of them , none of them left , all of the boys died .

<line_39>	ednèi uusia koualnaba , mugõ egt .
<segmentation>	ed-nèi uus-ia koual-na-ba , mugõ eg-t .
<glossing>	PX-SRC wrath-CAU cut-PST-TO one follow-CF
<translation>	Because of that I worked magic , one should have followed her .

<line_40>	nem magaiam sahnòg fesëlõhnn . mag ne së
<segmentation>	ne-m maga-ia-m sah-nòg fe-sëlõh-n-n . mag ne së
<glossing>	2-GL what-LOC-GL call-in vain do-in vain-BEN/NS-PST one 2 NEG
<translation>	Why did she call out for you in vain .

<line_41>	egime . sabehana kouale . eduõ sëmèia segfi .
<segmentation>	eg-i-me . sabeha-na koual-e . ed-uõ sëmèia segfi .
<glossing>	follow-PST-NEG magic-INS cut-D PX-TO morning bury
<translation>	followed her . He worked magic . Then next morning they buried her .

<line_42>	sëmèia kubui segfi . pëkama finiba ,
<segmentation>	sëmèia kubui segfi . pëkama fi-ni-ba ,
<glossing>	morning INT bury grave do-PST-TO
<translation>	Early morning they buried her . Having dug the grave ,

<line_43>	segfi . segfiniba , fëthena haifõ fòfniba .
<segmentation>	segfi . segfi-ni-ba , fëthe-na haifõ fòf-ni-ba .
<glossing>	bury bury-PST-TO ground-INS again cover-PST-TO
<translation>	they buried her . Having buried her . Having covered the grave again

<line_44>	ièf . ièf nibièni .
<segmentation>	ièf . ièf nibiè-ni .
<glossing>	house house build-BEN
<translation>	with soil . Next the house . They built a house for her .

<line_45>	nne sobsaba fininb . uèb, nëgamo . õsõianèi
<segmentation>	nne sobsaba fi-ni-n-b . uèb, nëga-mo . õsõ-ia-nèi
<glossing>	food cut do-BEN-PST-DUR yam think-CON garden-LOC-SRC
<translation>	They cut garden food for her . Yam , and - er - . From the garden

<line_46>	atha , poi , safa . ednèi sobsaba fininb eseè .
<segmentation>	atha , poi , safa . ed-nèi sobsaba fi-ni-n-b ese-è .
<glossing>	sugarcane pitpit taro PX-SRC cut do-BEN-PST-DUR EXC-D
<translation>	sugarcane , pitpit and taro . They were cutting this , and then .

<line_47>	sebuhel mugõ uagl fena , ehefsuõ haifõ mugõ
<segmentation>	sebuhe-l mugõ uagl fe-na , ehe-f-suõ haifõ mugõ
<glossing>	ghost-NOM completely go do-PST 3-EMP-EMP again completely
<translation>	Her soul having gone altogether , he himself married her again

<line_48>	edlagõ fia , edlagõ mënam . edlagõ mugõ
<segmentation>	ed-la-gõ f-ia , ed-la-gõ mëna-m . ed-la-gõ mugõ
<glossing>	PX-area-EL CL-get PX-area-EL road-LOC PX-area-EL completely
<translation>	down there , down there . Having altogether married her

<line_49>	fia fenaba ehef mugõ aleual . aleualnaba .
<segmentation>	f-ia fe-na-ba ehe-f mugõ ale-ual . ale-ual-na-ba .
<glossing>	CL-get do-PST-TO 3-EMP completely stay-DL stay-DL-PST-TO
<translation>	down there , the two of them stayed there . Having stayed there .

<line_50>	ednèim , tëlal sabeha koualnaba , idm ,
<segmentation>	ed-nèi-m , tëla-l sabeha koual-na-ba , id-m ,
<glossing>	PX-SRC-GL husband-NOM magic cut-PST-TO men-GL
<translation>	Those , her husand having worked magic , the men ,

<line_51>	id agõna toadm , ednèim segfiulaf . fenb .
<segmentation>	id agõ-na toad-m , ed-nèi-m segfi-ula-f . fe-n-b .
<glossing>	men women-POS boys-GL PX-SRC-GL bury-INT-PRS do-PST-DUR
<translation>	the sons of the people , those they buried . They did this .

<line_52>	mugõ defõ fe . humanpulgas alefna . em tasol .
<segmentation>	mugõ defõ fe . human-pul-gas ale-fna . em tasol .
<glossing>	completely die do inlaw-?-EMP stay-PRO 
<translation>	They had all died . Only their relatives lived on . That is it .
