iso_639_3,alternative_language_names,language,source_name,link
vie,-,Vietnamese,"Bible tokenized
Bible raw
UDHR (Latin script)
UDHR (Han Nom script)
Treebanks
OPUS (use crawler on server)
SketchEngine: Vietnamese Web (VietnameseWaC)
WIkipedia Dumps (crawler)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Vietnamese-tok.xml
https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Vietnamese.xml
https://unicode.org/udhr/d/udhr_vie.xml
https://unicode.org/udhr/d/udhr_vie_han.xml
http://universaldependencies.org/treebanks/vi_vtb/index.html
https://www.sketchengine.eu/viwac-vietnamese-corpus/
"
wba,"Warau, Guarau",Warao,,
pav,"Wari, Orowari, Wari' (Chapacuva), Pakaasnovos, Pakaásnovos",Wari',,
mzh,"Matako, Mataco, Wichí Lhamtés Güisnay",Wichí,,
wic,-,Wichita,"DOBES (1 text; corpus, access needed)","https://www.colorado.edu/linguistics/faculty/rood-old/Wichita/
http://corpus1.mpi.nl/ds/imdi_browser?openpath=MPI84029%23"
yad,-,Yagua,UDHR,https://unicode.org/udhr/d/udhr_yad.xml
yaq,Cahita,Yaqui,,
yor,-,Yoruba,"UDHR
Treebanks
OPUS (use crawler on server)
SketchEngine: Yoruba Web 2015 (YorubaWaC15)
WIkipedia Dumps (crawler)","https://unicode.org/udhr/d/udhr_yor.xml
http://universaldependencies.org/treebanks/yo_ytb/index.html
https://www.sketchengine.eu/yowac-yoruba-corpus/"
zoc,Sokean,Zoque (Copainalá),,
zul,IsiZulu,Zulu,"Bible NT
UDHR
OPUS (use crawler on server)
WIkipedia Dumps (crawler)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Zulu-NT.xml
https://unicode.org/udhr/d/udhr_zul.xml"
,,,,
,,Non empty cells:,49,
