iso_639_3,alternative_language_names,language,source_name,link
tur,Osmanli,Turkish,"Bible
UDHR
Treebanks
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Turkish.xml
https://unicode.org/udhr/d/udhr_tur.xml
http://universaldependencies.org/treebanks/tr_imst/index.html
http://universaldependencies.org/treebanks/tr_pud/index.html
http://universaldependencies.org/treebanks/tr_boun/index.html"
vie,-,Vietnamese,"Bible tokenized
Bible raw
UDHR (Latin script)
UDHR (Han Nom script)
Treebanks
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Vietnamese-tok.xml
https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Vietnamese.xml
https://unicode.org/udhr/d/udhr_vie.xml
https://unicode.org/udhr/d/udhr_vie_han.xml
http://universaldependencies.org/treebanks/vi_vtb/index.html"
wba,"Warau, Guarau",Warao,,
pav,"Wari, Orowari, Wari' (Chapacuva), Pakaasnovos, Pakaásnovos",Wari',,
mzh,"Matako, Mataco, Wichí Lhamtés Güisnay",Wichí,,
wic,-,Wichita,"DOBES (1 text; corpus, access needed)","https://www.colorado.edu/linguistics/faculty/rood-old/Wichita/
http://corpus1.mpi.nl/ds/imdi_browser?openpath=MPI84029%23"
yad,-,Yagua,UDHR,https://unicode.org/udhr/d/udhr_yad.xml
yaq,Cahita,Yaqui,,
yor,-,Yoruba,"UDHR
Treebanks
OPUS (use crawler on server)","https://unicode.org/udhr/d/udhr_yor.xml
http://universaldependencies.org/treebanks/yo_ytb/index.html"
zoc,Sokean,Zoque (Copainalá),,
zul,IsiZulu,Zulu,"Bible NT
UDHR
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Zulu-NT.xml
https://unicode.org/udhr/d/udhr_zul.xml"
