wals code,glottocode,name,latitude,longitude,macroarea,genus,family,sample 100,sample 200
gum,kumb1268,Gumbaynggir,-30.1666666667,152.5,Australia,Southeastern Pama-Nyungan,Pama-Nyungan,False,False
ctm,chit1248,Chitimacha,29.6666666667,-91,North America,Chitimacha,Chitimacha,False,False
cec,chic1271,Chicomuceltec,15.5,-92.25,North America,Mayan,Mayan,False,False
krg,shon1251,Karanga,-20,31,Africa,Bantoid,Niger-Congo,False,False
ksa,east1472,Keresan (Santa Ana),35.4166666667,-106.666666667,North America,Keresan,Keresan,False,False
oji,east2542,Ojibwa (Eastern),46,-80,North America,Algonquian,Algic,False,False
cpw,chip1241,Chippewa (Red Lake and Pillager),48,-95,North America,Algonquian,Algic,False,False
urk,urub1250,Urubú-Kaapor,-2.3333333333,-46.5,South America,Tupi-Guaraní,Tupian,False,True
isn,isna1241,Isnag,18.25,121,Papunesia,Northern Luzon,Austronesian,False,False
max,maxa1247,Maxakalí,-18,-40,South America,Maxakalí,Macro-Ge,False,False
oca,ocai1244,Ocaina,-2.75,-71.75,South America,Huitoto,Huitotoan,False,False
ilo,ilok1237,Ilocano,16,121,Papunesia,Northern Luzon,Austronesian,False,False
brk,beri1254,Berik,-2.25,138.833333333,Papunesia,Tor,Tor-Orya,False,False
bbu,bara1361,Barambu,3.5,27,Africa,Ubangi,Niger-Congo,False,False
wan,ngur1261,Wangkumara,-27.3333333333,143,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
nyn,nyig1240,Nyigina,-18,124.333333333,Australia,Nyulnyulan,Nyulnyulan,False,False
prh,pira1253,Pirahã,-7,-62,South America,Mura,Mura,True,True
thu,thul1246,Thulung,27.4166666667,86.5,Eurasia,Mahakiranti,Sino-Tibetan,False,False
kmp,kuni1267,Kunimaipa,-8,146.833333333,Papunesia,Goilalan,Trans-New Guinea,False,False
wiy,wiyo1248,Wiyot,40.8333333333,-124.166666667,North America,Wiyot,Algic,False,False
lla,lamu1254,Lamu-Lamu,-14.8333333333,144.5,Australia,Northern Pama-Nyungan,Pama-Nyungan,False,False
paa,paaa1242,Pa'a,11,9.25,Africa,West Chadic,Afro-Asiatic,False,False
amk,amar1274,Amarakaeri,-12.5,-70.5,South America,Harakmbet,Harakmbet,False,False
sea,sout2859,Southeast Ambrym,-16.3,168.216666667,Papunesia,Oceanic,Austronesian,False,False
cyg,cayu1261,Cayuga,42.75,-76.75,North America,Northern Iroquoian,Iroquoian,False,False
lov,lave1248,Loven,15,106.333333333,Eurasia,Bahnaric,Austro-Asiatic,False,False
yrm,yuru1243,Yurimangí,3.8333333333,-77,South America,Yurimangí,Yurimangí,False,False
snm,sanu1240,Sanuma,4.5,-64.6666666667,South America,Yanomam,Yanomam,True,True
yuc,yuch1247,Yuchi,35.75,-86.75,North America,Yuchi,Yuchi,False,True
mwo,motl1237,Mwotlap,-13.5833333333,167.583333333,Papunesia,Oceanic,Austronesian,False,False
cof,cofa1242,Cofán,0.1666666667,-77.1666666667,South America,Cofán,Cofán,False,False
tpn,nort2959,Tepehuan (Northern),26.3333333333,-107,North America,Tepiman,Uto-Aztecan,False,False
dsh,dani1285,Danish,56,10,Eurasia,Germanic,Indo-European,False,False
dab,nucl1683,Daba,10.1666666667,13.75,Africa,Biu-Mandara,Afro-Asiatic,False,False
otm,mezq1235,Otomí (Mezquital),20.1666666667,-99.1666666667,North America,Otomian,Oto-Manguean,True,True
osm,quer1236,Otomí (Santiago Mexquititlan),20.0833333333,-100.083333333,North America,Otomian,Oto-Manguean,False,False
oix,ixte1237,Otomí (Ixtenco),19.0833333333,-97.9166666667,North America,Otomian,Oto-Manguean,False,False
ben,beng1280,Bengali,24,90,Eurasia,Indic,Indo-European,False,False
bec,chit1275,Bengali (Chittagong),22.3333333333,91.8333333333,Eurasia,Indic,Indo-European,False,False
shp,nort1527,Sahaptin (Northern),46.5,-120,North America,Sahaptian,Penutian,False,False
smt,umat1237,Sahaptin (Umatilla),45.6666666667,-118.5,North America,Sahaptian,Penutian,False,False
chy,chay1248,Chayahuita,-5.5,-77,South America,Cahuapanan,Cahuapanan,False,False
kku,kork1243,Korku,22.5,78.5,Eurasia,Munda,Austro-Asiatic,False,False
hak,hakk1236,Hakka,25,116,Eurasia,Chinese,Sino-Tibetan,False,False
hyo,asho1236,Hyow,22.0833333333,92.4166666667,Eurasia,Kuki-Chin,Sino-Tibetan,False,False
ho,hooo1248,Ho,22,86,Eurasia,Munda,Austro-Asiatic,False,False
tbs,taba1259,Tabassaran,41.8333333333,47.9166666667,Eurasia,Lezgic,Nakh-Daghestanian,False,False
tlo,tobe1252,Tobelo,1.5,128.5,Papunesia,North Halmaheran,West Papuan,False,False
ych,cent2127,Yup'ik (Chevak),61.5,-165.75,North America,Eskimo,Eskimo-Aleut,False,False
yun,cent2127,Yup'ik (Norton Sound),64,-161,North America,Eskimo,Eskimo-Aleut,False,False
ypk,cent2127,Yup'ik (Central),59.5,-160,North America,Eskimo,Eskimo-Aleut,False,True
mij,miju1243,Miju,29,96,Eurasia,Tani,Sino-Tibetan,False,False
arw,nucl1235,Armenian (Western),38.5,43.5,Eurasia,Armenian,Indo-European,False,False
arm,nucl1235,Armenian (Eastern),40,45,Eurasia,Armenian,Indo-European,False,True
arz,nucl1235,Armenian (Iranian),32.6666666667,51.6666666667,Eurasia,Armenian,Indo-European,False,False
kpw,east2341,Karen (Pwo),13,99.1666666667,Eurasia,Karen,Sino-Tibetan,False,False
oka,okan1243,Okanagan,49.5,-118.5,North America,Interior Salish,Salishan,False,False
gla,qaua1234,Gelao,22.9166666667,105.5,Eurasia,Kadai,Tai-Kadai,False,False
agc,cent2084,Agta (Central),17.9666666667,121.833333333,Papunesia,Greater Central Philippine,Austronesian,False,False
aso,sout2694,Altai (Southern),51,87,Eurasia,Turkic,Altaic,False,False
niu,niue1239,Niuean,-19.05,-170.116666667,Papunesia,Oceanic,Austronesian,False,False
mig,miga1249,Migama,12.1666666667,19.8333333333,Africa,East Chadic,Afro-Asiatic,False,False
ggu,gure1255,Gureng Gureng,-25.25,151,Australia,Southeastern Pama-Nyungan,Pama-Nyungan,False,False
mnx,manx1243,Manx,54.1666666667,-4.5,Eurasia,Celtic,Indo-European,False,False
mlu,male1289,Maleu,-5.7166666667,148.416666667,Papunesia,Oceanic,Austronesian,False,False
gay,gayo1244,Gayo,4.5,97.5,Papunesia,Northwest Sumatra-Barrier Islands,Austronesian,False,False
ctc,cuic1234,Cuicatec,17.8333333333,-96.8333333333,North America,Mixtecan,Oto-Manguean,False,False
krt,kara1474,Karata,42.5833333333,46.3333333333,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
gut,gour1243,Gurma (Togo),10.75,0.6666666667,Africa,Gur,Niger-Congo,False,False
grm,gour1243,Gurma,12.25,1,Africa,Gur,Niger-Congo,False,False
nab,naba1256,Nabak,-6.4166666667,147,Papunesia,Finisterre-Huon,Trans-New Guinea,False,False
hia,cari1279,Hianacoto,0.8333333333,-71,South America,Cariban,Cariban,False,False
skm,suku1261,Sukuma,-2.8333333333,32,Africa,Bantoid,Niger-Congo,False,False
yim,yima1243,Yimas,-4.6666666667,143.55,Papunesia,Lower Sepik,Lower Sepik-Ramu,False,True
fox,mesk1242,Fox,43,-83,North America,Algonquian,Algic,False,False
fin,finn1318,Finnish,62,25,Eurasia,Finnic,Uralic,True,True
ndg,ndog1248,Ndogo,7.75,27,Africa,Ubangi,Niger-Congo,False,False
chw,west2650,Cham (Western),12,105.5,Eurasia,Malayo-Sumbawan,Austronesian,False,False
jun,juan1238,Juang,21.3333333333,86,Eurasia,Munda,Austro-Asiatic,False,False
knn,kinn1249,Kinnauri,31.5,78,Eurasia,Bodic,Sino-Tibetan,False,False
bgv,bagv1239,Bagvalal,42.5833333333,46.1666666667,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
ung,ngar1284,Ungarinjin,-16.3333333333,126,Australia,Worrorran,Worrorran,False,True
pnr,enap1235,Panare,6.5,-66,South America,Cariban,Cariban,False,False
sup,supy1237,Supyire,11.5,-5.5833333333,Africa,Gur,Niger-Congo,True,True
snh,sinh1246,Sinhala,7,80.5,Eurasia,Indic,Indo-European,False,False
mym,mala1464,Malayalam,10,76.5,Eurasia,Southern Dravidian,Dravidian,False,False
nau,naur1243,Nauruan,-0.5,166.916666667,Papunesia,Oceanic,Austronesian,False,False
moc,shek1244,Moca,7.5833333333,35.5,Africa,North Omotic,Afro-Asiatic,False,False
til,till1254,Tillamook,45.3333333333,-123.75,North America,Tillamook,Salishan,False,False
tsn,tson1249,Tsonga,-24,32,Africa,Bantoid,Niger-Congo,False,False
sme,siam1242,Seme,11,-4.9166666667,Africa,Kru,Niger-Congo,False,False
ykt,yaku1245,Yakut,62,130,Eurasia,Turkic,Altaic,False,False
lnd,band1344,Linda,6.5,20.75,Africa,Ubangi,Niger-Congo,False,False
sao,saho1246,Saho,14.75,39.75,Africa,Lowland East Cushitic,Afro-Asiatic,False,False
mmb,mbul1263,Mangap-Mbula,-5.6666666667,148.083333333,Papunesia,Oceanic,Austronesian,False,False
bku,mokp1239,Bakueri,4.25,9.25,Africa,Bantoid,Niger-Congo,False,False
puk,para1301,Parauk,23.25,99.5,Eurasia,Palaung-Khmuic,Austro-Asiatic,False,False
yuw,gami1243,Yuwaalaraay,-29.5,148,Australia,Southeastern Pama-Nyungan,Pama-Nyungan,False,False
gml,gami1243,Gamilaraay,-29.8333333333,149.5,Australia,Southeastern Pama-Nyungan,Pama-Nyungan,False,False
crn,corn1251,Cornish,50.3333333333,-5,Eurasia,Celtic,Indo-European,False,False
nup,nupe1254,Nupe,9.1666666667,5.4166666667,Africa,Nupoid,Niger-Congo,False,False
klh,kala1372,Kalasha,35,72,Eurasia,Indic,Indo-European,False,False
tru,trum1247,Trumai,-11.9166666667,-53.5833333333,South America,Trumai,Trumai,False,True
brw,west2397,Bru (Western),16.75,104.75,Eurasia,Katuic,Austro-Asiatic,False,False
bru,east2332,Bru (Eastern),17.3333333333,106,Eurasia,Katuic,Austro-Asiatic,False,False
skn,guah1255,Sikuani,6.25,-71.5,South America,Guahiban,Guahiban,False,False
ghb,guah1255,Guahibo,5,-69,South America,Guahiban,Guahiban,False,False
woi,kama1365,Woisika,-8.25,124.833333333,Papunesia,Greater Alor,Timor-Alor-Pantar,False,False
dhr,dhar1247,Dhargari,-23.75,114.916666667,Australia,Western Pama-Nyungan,Pama-Nyungan,False,False
rem,bond1245,Remo,18,82,Eurasia,Munda,Austro-Asiatic,False,False
lat,latv1249,Latvian,57,24,Eurasia,Baltic,Indo-European,False,True
kug,mand1415,Kunming,25,102.75,Eurasia,Chinese,Sino-Tibetan,False,False
mnd,mand1415,Mandarin,34,110,Eurasia,Chinese,Sino-Tibetan,True,True
dok,ngom1268,Doko,3,23.0833333333,Africa,Bantoid,Niger-Congo,False,False
nbe,ngom1268,Ngombe,3,23,Africa,Bantoid,Niger-Congo,False,False
mbe,mber1257,Mbere,-0.5,14,Africa,Bantoid,Niger-Congo,False,False
cyv,cayu1262,Cayuvava,-13.5,-65.5,South America,Cayuvava,Cayuvava,False,True
ane,anem1249,Anêm,-5.5833333333,149.083333333,Papunesia,Anêm,Anêm,False,False
mnr,mand1442,Mandar,-3.4166666667,119.083333333,Papunesia,South Sulawesi,Austronesian,False,False
nsy,assy1241,Neo-Aramaic (Assyrian),36,41,Eurasia,Semitic,Afro-Asiatic,False,False
mav,mari1435,Maring,-5.5,144.666666667,Papunesia,Chimbu,Trans-New Guinea,False,False
wyn,waya1269,Wayana,3.25,-54.1666666667,South America,Cariban,Cariban,False,False
der,dera1245,Dla (Proper),-3.5833333333,141,Papunesia,Senagi,Senagi,False,False
moh,moha1258,Mohawk,43.5,-74.25,North America,Northern Iroquoian,Iroquoian,False,False
pnn,pang1290,Pangasinan,15.9166666667,120.333333333,Papunesia,Northern Luzon,Austronesian,False,False
bbw,gunw1252,Bininj Gun-Wok,-12.5,133.75,Australia,Gunwinygic,Gunwinyguan,False,False
zso,zulu1248,Zulu (Southern),-31,30,Africa,Bantoid,Niger-Congo,False,False
zno,zulu1248,Zulu (Northern),-28,31,Africa,Bantoid,Niger-Congo,False,False
zul,zulu1248,Zulu,-30,30,Africa,Bantoid,Niger-Congo,True,True
iri,iris1253,Irish,53,-8,Eurasia,Celtic,Indo-European,False,True
sio,sioo1240,Sio,-5.95,147.333333333,Papunesia,Oceanic,Austronesian,False,False
chi,chim1301,Chimariko,41,-123,North America,Chimariko,Hokan,False,False
kpo,ikpo1238,Kposo,7.5,0.8333333333,Africa,Kwa,Niger-Congo,False,False
mou,moru1253,Moru,4.75,29.75,Africa,Moru-Ma'di,Central Sudanic,False,False
bub,bube1242,Bubi,3.5,8.6666666667,Africa,Bantoid,Niger-Congo,False,False
aar,aari1239,Aari,6,36.5833333333,Africa,South Omotic,Afro-Asiatic,False,False
tsf,colo1256,Tsafiki,-1,-79.3333333333,South America,Barbacoan,Barbacoan,False,False
kri,kari1255,Kipea,-10,-37,South America,Kariri,Kariri,False,False
myr,mats1244,Matsés,-5.4166666667,-73.25,South America,Panoan,Panoan,False,False
msn,mais1250,Maisin,-9.5,149.166666667,Papunesia,Oceanic,Austronesian,False,False
cve,chua1250,Chuave,-6.1166666667,145.116666667,Papunesia,Chimbu,Trans-New Guinea,False,False
pis,asue1235,Pisa,-5.1666666667,139.166666667,Papunesia,Awju-Dumut,Trans-New Guinea,False,False
sah,sahu1245,Sahu,1.1666666667,127.5,Papunesia,North Halmaheran,West Papuan,False,False
dob,dobe1238,Dobel,-6.25,134.666666667,Papunesia,Central Malayo-Polynesian,Austronesian,False,False
usa,usan1239,Usan,-4.8333333333,145.166666667,Papunesia,Madang,Trans-New Guinea,False,True
zen,zena1248,Zenaga,17.3333333333,-16,Africa,Berber,Afro-Asiatic,False,False
bti,beto1236,Betoi,7.1666666667,-71.25,South America,Betoi,Betoi,False,False
ved,vedd1240,Vedda,7,81,Eurasia,Indic,Indo-European,False,False
kgr,kagu1239,Kagulu,-6.3333333333,37,Africa,Bantoid,Niger-Congo,False,False
run,rung1258,Runga,10.3333333333,21,Africa,Maban,Maban,False,False
kfe,koro1298,Koromfe,14.25,-0.9166666667,Africa,Gur,Niger-Congo,False,True
yli,angg1239,Yali,-4,139.333333333,Papunesia,Dani,Trans-New Guinea,False,False
tao,tara1313,Tarao,24.25,94.1666666667,Eurasia,Kuki-Chin,Sino-Tibetan,False,False
kya,kuku1273,Kuku-Yalanji,-16,145,Australia,Northern Pama-Nyungan,Pama-Nyungan,False,False
cqt,chiq1248,Chiquitano,-17.5,-60,South America,Chiquito,Chiquito,False,False
lmg,lama1288,Lamang,11.25,13.5833333333,Africa,Biu-Mandara,Afro-Asiatic,False,False
bhn,bahi1254,Bahinemo,-4.5833333333,142.833333333,Papunesia,Sepik Hill,Sepik,False,False
cog,cogu1240,Cogui,11,-73.8333333333,South America,Arhuacic,Chibchan,False,False
tne,timn1235,Temne,8.6666666667,-13.0833333333,Africa,Mel,Niger-Congo,False,False
kmt,kemt1242,Kemtuik,-2.6666666667,140.333333333,Papunesia,Nimboran,Nimboran,False,False
mpu,mpur1239,Mpur,-0.75,133.25,Papunesia,Kebar,West Papuan,False,False
hmb,huam1247,Huambisa,-4,-78,South America,Jivaroan,Jivaroan,False,False
ysl,cent2128,Yupik (St. Lawrence Island),63.5,-170.5,Eurasia,Eskimo,Eskimo-Aleut,False,False
jrn,juru1256,Juruna,-5,-54.5,South America,Tupi-Guaraní,Tupian,False,False
mhm,besi1244,Mah Meri,2.8333333333,101.5,Eurasia,Aslian,Austro-Asiatic,False,False
qch,kich1262,Quiché,15,-91.4166666667,North America,Mayan,Mayan,False,False
dou,dout1240,Doutai,-3.3333333333,138.166666667,Papunesia,Lakes Plain,Lakes Plain,False,False
olu,olut1240,Olutec,17.95,-95,North America,Mixe-Zoque,Mixe-Zoque,False,False
cem,cemu1238,Cèmuhî,-20.8333333333,165.166666667,Papunesia,Oceanic,Austronesian,False,False
tld,tala1285,Talaud,4.25,126.75,Papunesia,Sangiric,Austronesian,False,False
hlp,hava1248,Hualapai,35.5,-113.75,North America,Yuman,Hokan,False,False
tks,teke1280,Teke (Southern),-2.3333333333,14.5,Africa,Bantoid,Niger-Congo,False,False
vaf,vafs1240,Vafsi,34.6666666667,49.9166666667,Eurasia,Iranian,Indo-European,False,False
tag,taga1270,Tagalog,15,121,Papunesia,Greater Central Philippine,Austronesian,True,True
qaw,qawa1238,Qawasqar,-49,-75,South America,Alacalufan,Alacalufan,False,True
dms,dima1251,Dimasa,25.5,93,Eurasia,Bodo-Garo,Sino-Tibetan,False,False
blq,nucl1695,Bole,11.3333333333,11.25,Africa,West Chadic,Afro-Asiatic,False,False
yah,yama1264,Yahgan,-55,-68,South America,Yámana,Yámana,False,False
blk,bala1315,Balantak,-0.8333333333,123.25,Papunesia,Celebic,Austronesian,False,False
aly,alya1239,Alyawarra,-22.5,135,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
mny,marg1253,Margany,-27,144.5,Australia,Northern Pama-Nyungan,Pama-Nyungan,False,False
lon,loni1238,Loniu,-2.0666666667,147.333333333,Papunesia,Oceanic,Austronesian,False,False
awn,awng1244,Awngi,10.8333333333,36.6666666667,Africa,Central Cushitic,Afro-Asiatic,False,False
gil,gila1241,Gilaki,37.3333333333,50,Eurasia,Iranian,Indo-European,False,False
cla,clal1241,Clallam,48.0833333333,-123.75,North America,Central Salish,Salishan,False,False
eml,emba1238,Embaloh,1.1666666667,112.333333333,Papunesia,South Sulawesi,Austronesian,False,False
jeb,jebe1250,Jebero,-5.4166666667,-76.5,South America,Cahuapanan,Cahuapanan,False,False
neh,neha1247,Nehan,-4.5,154.2,Papunesia,Oceanic,Austronesian,False,False
ntu,nene1249,Nenets (Tundra),70,76,Eurasia,Samoyedic,Uralic,False,False
nen,nene1249,Nenets,69,72,Eurasia,Samoyedic,Uralic,False,True
crg,east2555,Chiriguano,-23.6666666667,-64.3333333333,South America,Tupi-Guaraní,Tupian,False,False
gua,para1311,Guaraní,-26,-56,South America,Tupi-Guaraní,Tupian,True,True
bem,bemb1257,Bemba,-10,28.25,Africa,Bantoid,Niger-Congo,False,False
bna,jama1261,Banawá,-7,-65,South America,Arauan,Arauan,False,False
amx,anam1248,Anamuxra,-4.6666666667,145,Papunesia,Madang,Trans-New Guinea,False,False
hil,hili1240,Hiligaynon,10.25,123,Papunesia,Greater Central Philippine,Austronesian,False,False
som,soma1255,Somali,3,45,Africa,Lowland East Cushitic,Afro-Asiatic,False,False
lah,lahu1253,Lahu,20,98.1666666667,Eurasia,Burmese-Lolo,Sino-Tibetan,False,False
ass,assa1263,Assamese,26,93,Eurasia,Indic,Indo-European,False,False
tbl,tabl1243,Tabla,-2.45,140.416666667,Papunesia,Sentani,Sentani,False,False
mba,mbaa1245,Mba,1,25,Africa,Ubangi,Niger-Congo,False,False
ogb,ogbi1239,Ogbia,4.6666666667,6.25,Africa,Cross River,Niger-Congo,False,False
for,fore1270,Fore,-6.75,145.5,Papunesia,Eastern Highlands,Trans-New Guinea,False,False
but,mong1330,Buriat,52,108,Eurasia,Mongolic,Altaic,False,False
awt,awtu1239,Awtuw,-3.5833333333,142,Papunesia,Ram,Sepik,False,False
alw,alaw1244,Alawa,-15.1666666667,134.25,Australia,Alawa,Mangarrayi-Maran,False,False
nif,niua1240,Niuafo'ou,-15.5666666667,-175.616666667,Papunesia,Oceanic,Austronesian,False,False
ant,anga1290,Angaatiha,-7.2166666667,146.25,Papunesia,Angan,Trans-New Guinea,False,False
mbt,mang1394,Mangbetu,2.5,26.5,Africa,Mangbetu,Central Sudanic,False,False
ura,urav1235,Ura,-18.6666666667,169.083333333,Papunesia,Oceanic,Austronesian,False,False
mss,sout2985,Miwok (Southern Sierra),37.5,-120,North America,Miwok,Penutian,False,True
tbu,tebu1238,Tubu,16,15,Africa,Western Saharan,Saharan,False,False
tgl,tsha1245,Tshangla,27.8333333333,92.1666666667,Eurasia,Bodic,Sino-Tibetan,False,False
efi,efik1245,Efik,4.9166666667,8.5,Africa,Cross River,Niger-Congo,False,False
sba,sali1298,Sáliba (in Colombia),6,-70,South America,Sáliba,Sáliban,False,False
